cluster,cluster_id_returned,cluster_size,primary_category,secondary_category,human_labelled_clusters,cluster_name,name_attempts,name_error,name_model,name_temperature
0,0,27,technical,policy,Gap in DC components safety standards ,dc safety standards gap,1,,gpt-5.4-mini,0.2
1,1,27,technical,general,Cybersecurity vulnerabilities in DC microgrids,cybersecurity vulnerabilities in dc microgrids,1,,gpt-5.4-mini,0.2
2,2,107,technical,general,Shortage in skilled workforce ,skilled workforce shortage,1,,gpt-5.4-mini,0.2
3,3,40,policy,general,Regulatory uncertainty and hurdles,regulatory uncertainty and hurdles,1,,gpt-5.4-mini,0.2
4,4,50,technical,policy,DC interoperability standardization and certification gap,dc interoperability standardization,1,,gpt-5.4-mini,0.2
5,5,16,technical,general,DC standards fragmented,dc standardization gaps,1,,gpt-5.4-mini,0.2
6,6,12,general,technical,DC market readiness challenges,lack of dc standardization,1,,gpt-5.4-mini,0.2
7,7,11,technical,general,AC grid integration complexity,ac grid integration complexity,1,,gpt-5.4-mini,0.2
8,8,19,general,policy,Economic uncertainty and ROI,economic uncertainty and roi,1,,gpt-5.4-mini,0.2
9,9,36,general,technical,High upfront transition costs,high upfront transition costs,1,,gpt-5.4-mini,0.2
10,10,23,technical,general,DC supply chain constraints,dc supply chain constraints,1,,gpt-5.4-mini,0.2
11,11,40,technical,general,DC component cost and availability,dc component cost availability,1,,gpt-5.4-mini,0.2
12,12,52,technical,general,Retrofit complexity in existing infrastructure,retrofit costs and complexity,1,,gpt-5.4-mini,0.2
13,13,53,technical,general,Interoperability challenges with existing AC infrastructure,interoperability with existing ac infrastructure,1,,gpt-5.4-mini,0.2
14,14,48,policy,general,Public awareness and acceptance,public awareness and acceptance,1,,gpt-5.4-mini,0.2
15,15,16,policy,technical,Public safety perception concerns,public safety perception concerns,1,,gpt-5.4-mini,0.2
