title,company,location,posted,summary,url
Senior Electrical Engineer (Seat Integration),Boeing,"Hamburg, Germany","Posted 1 day ago
                
                                      
                    Deadline 31 March","Work with customers to develop and document complex electronic and electrical system requirements for passenger seats. Define requirements, review and approve qualification data from our suppliers for integration approval of seats into the airframe",/job_display/288447/Senior_Electrical_Engineer_Seat_Integration_Boeing_Hamburg_Germany
Tread Compound Specialist,Bridgestone,"Rome, Italy",Posted 7 days ago,"The candidate will play a key role in the development of new passenger compound development through his/her solid knowledge on Material Science, Chemistry and industrial process technology, covering a wide range of activities from design thinking of",/job_display/288242/Tread_Compound_Specialist_Bridgestone_Rome_Italy
Senior Functionality Engineer,Electrolux,"Żarów, Poland",Posted 15 days ago,"Your responsibilities will include the design of appliance functionality by means of test plans definition and execution with a critical, problem-solving approach, and data analysis and reporting, being focused on deadlines. You will work in an",/job_display/287826/Senior_Functionality_Engineer_Electrolux_arw_Poland
Plant Manager,THEON International,"Koropi, Greece",Posted 20 days ago,"Responsible for the overall performance of the manufacturing plant, ensuring efficient, safe, and compliant production operations. This role leads production planning, assembly, quality control, maintenance, machinery and warehouses",/job_display/287640/Plant_Manager_THEON_International_Koropi_Greece
Project Manager,TEKEVER,"Toulouse, France",Posted today,He/she coordinates cross-functional teams to ensure seamless integration of advanced technologies and the timely delivery of high-quality solutions or services. He/she manages stakeholders at both technical and strategic levels ensuring compliance with,/job_display/288523/Project_Manager_TEKEVER_Toulouse_France
Project & Technical Leader,Electrolux,"Żarów, Poland",Posted today,"You will drive cross‑functional technical projects across Architecture, Platform, and Module areas. You will lead end‑to‑end project execution - from technical direction to planning, budgeting, and delivery - ensuring that solutions align with",/job_display/288517/Project_Technical_Leader_Electrolux_arw_Poland
Head of R&D,PowerCo,"Valencia, Spain",Posted 4 days ago,"You will play a key role in steering the New Product Introduction (NPI) department, leading the successful industrialization and launch of PowerCo’s next-generation battery cells. You will take ownership of technical leadership, product decision-making,",/job_display/288428/Head_of_RD_PowerCo_Valencia_Spain
EO Future Microwave Payload Engineer,ESA - European Space Agency,"Noordwijk, Netherlands","Posted 4 days ago
                
                                      
                    Deadline 30 March","You will be responsible for the end-to-end definition, engineering, technology breadboarding and pre-development of microwave payloads for ERS-EO, future EO research missions – e.g. Earth Explorers, Missions of Opportunity and Scout missions – and",/job_display/288397/EO_Future_Microwave_Payload_Engineer_ESA_European_Space_Agency_Noordwijk_Netherlands
Head of Engineering Services Department,ITER - International Thermonuclear Experimental Reactor,"Saint-Paul-lez-Durance, France","Posted 5 days ago
                
                                      
                    Deadline 5 April","In cooperation with other departments, supports the development of the strategy as well as resource forecasting for engineering and assembly activities; Leads the ESD by managing resources to efficiently support achievements of the Project milestones",/job_display/288365/Head_of_Engineering_Services_Department_ITER_International_Thermonuclear_Experimental_Reactor_Saint_Paul_lez_Durance_France
Project Manager High-Voltage MOSFET Product Development,Infineon,"Villach, Austria",Posted 6 days ago,"Align and coordinate project requirements across a globally distributed team, spanning Europe, the United States, and Asia-Pacific; Lead product development teams, providing clear direction, assigning work packages, and fostering a motivated and focused",/job_display/288308/Project_Manager_High_Voltage_MOSFET_Product_Development_Infineon_Villach_Austria
Head of ISR & Strike Solutions,Harmattan AI,"Paris, France",Posted 6 days ago,"Act as the primary interface for customers and C-Level executives, ensuring program execution aligns with the overall ISR & Strike product strategy and roadmap; Oversee the entire contract execution lifecycle, coordinating the team of Program Managers,",/job_display/288301/Head_of_ISR_Strike_Solutions_Harmattan_AI_Paris_France
