cluster,cluster_id_returned,cluster_size,cluster_name,name_attempts,name_error,name_model,name_temperature
0,0,27,dc safety standards gap,1,,gpt-5.4-mini,0.2
1,1,27,cybersecurity vulnerabilities in dc microgrids,1,,gpt-5.4-mini,0.2
2,2,107,skilled workforce shortage,1,,gpt-5.4-mini,0.2
3,3,40,regulatory uncertainty and hurdles,1,,gpt-5.4-mini,0.2
4,4,50,dc interoperability standardization,1,,gpt-5.4-mini,0.2
5,5,16,dc standardization gaps,1,,gpt-5.4-mini,0.2
6,6,12,lack of dc standardization,1,,gpt-5.4-mini,0.2
7,7,11,ac grid integration complexity,1,,gpt-5.4-mini,0.2
8,8,19,economic uncertainty and roi,1,,gpt-5.4-mini,0.2
9,9,36,high upfront transition costs,1,,gpt-5.4-mini,0.2
10,10,23,dc supply chain constraints,1,,gpt-5.4-mini,0.2
11,11,40,dc component cost availability,1,,gpt-5.4-mini,0.2
12,12,52,retrofit costs and complexity,1,,gpt-5.4-mini,0.2
13,13,53,interoperability with existing ac infrastructure,1,,gpt-5.4-mini,0.2
14,14,48,public awareness and acceptance,1,,gpt-5.4-mini,0.2
15,15,16,public safety perception concerns,1,,gpt-5.4-mini,0.2
16,16,36,public safety perception concerns,1,,gpt-5.4-mini,0.2
17,17,79,public awareness and acceptance,1,,gpt-5.4-mini,0.2
18,18,14,lack of standardized dc components,1,,gpt-5.4-mini,0.2
19,19,15,limited dc hardware availability,1,,gpt-5.4-mini,0.2
20,20,33,legacy infrastructure compatibility,1,,gpt-5.4-mini,0.2
21,21,47,regulatory uncertainty and compliance,1,,gpt-5.4-mini,0.2
22,22,23,retrofit costs and complexity,1,,gpt-5.4-mini,0.2
23,23,17,retrofit costs and disruption,1,,gpt-5.4-mini,0.2
24,24,36,existing ac grid integration,1,,gpt-5.4-mini,0.2
25,25,61,dc ac interoperability challenges,1,,gpt-5.4-mini,0.2
26,26,50,dc standardization and interoperability,1,,gpt-5.4-mini,0.2
27,27,47,dc interoperability standards,1,,gpt-5.4-mini,0.2
28,28,30,dc interoperability standards,1,,gpt-5.4-mini,0.2
29,29,27,regulatory inconsistency and compliance barriers,1,,gpt-5.4-mini,0.2
30,30,31,regulatory and standards barriers,1,,gpt-5.4-mini,0.2
